gc,cpg,dws,dyr,dmk,ltp,htp,itp,id
0.49666666666666665,0.5405161929642809,-0.04329081292501889,0.036533333333333334,0.0030315557392862065,0.4214046822742475,0.17725752508361203,0.1605351170568562,PPYG2
0.43,0.721110510185686,0.024071807425540596,0.08599848342923413,0.03170041963145411,0.451505016722408,0.14715719063545152,0.17391304347826086,PPYG2
0.42333333333333334,0.5208010416020832,0.04160029129306814,0.0761468705547653,-0.017297297297297298,0.44816053511705684,0.14715719063545152,0.17391304347826086,PPYG2
0.49,0.6108565875329723,-0.01716242052376506,0.09377785701551078,-0.02015712682379349,0.4280936454849498,0.18394648829431437,0.1605351170568562,PPYG2
0.49333333333333335,0.6574141709276844,-0.023426386913229017,0.08328860261227411,0.02922077922077922,0.43812709030100333,0.16387959866220736,0.1705685618729097,PPYG2
0.46,0.4410838059231254,0.05761316872427984,0.07091469681397738,0.13342379014020805,0.4682274247491639,0.11705685618729098,0.18394648829431437,PPYG2
0.43333333333333335,0.42603550295857984,-0.001176470588235294,0.09184459857654471,0.1032132885334343,0.46488294314381273,0.13377926421404682,0.1806020066889632,PPYG2
0.4,0.4166666666666667,-0.0022222222222222222,0.18324302539071247,0.08784975451642119,0.49498327759197325,0.13377926421404682,0.16722408026755853,PPYG2
0.37666666666666665,0.7518208160388441,0.06611140031233732,0.07189776129407033,0.06944174285158529,0.44481605351170567,0.12374581939799331,0.20066889632107024,PPYG2
0.43666666666666665,0.8391119398636443,0.13564298297122723,0.0430298719772404,0.15938048714600875,0.44481605351170567,0.12374581939799331,0.19063545150501673,PPYG2
0.47,0.6035913686434284,-0.04737053392211963,0.07266158169409875,0.16233351578179164,0.42474916387959866,0.15719063545150502,0.18729096989966554,PPYG2
0.4633333333333334,0.8074116246571088,-0.10277492291880781,0.06260281890533992,0.14488636363636365,0.39464882943143814,0.16387959866220736,0.20735785953177258,PPYG2
0.43333333333333335,0.7810650887573964,0.02588235294117647,0.0896928752388995,0.08722783389450056,0.4214046822742475,0.16387959866220736,0.18729096989966554,PPYG2
0.43666666666666665,0.5594079599090962,0.10271466642576449,0.030832476875642344,0.0362200956937799,0.431438127090301,0.14046822742474915,0.18729096989966554,PPYG2
0.5133333333333333,0.4553887670770788,0.13560754314178972,0.10054054054054054,0.008259117369023334,0.4816053511705686,0.14715719063545152,0.1605351170568562,PPYG2
